contents,lower_contents
 hello, hello
 hello, hello
 hello, hello
 hello, hello
 Hello , hello 
 hello , hello 
 Hello again everyone!, hello again everyone!
 hello all, hello all
 Hello all, hello all
 Hello all, hello all
 hello all!, hello all!
 hello any researching reading my thoughts, hello any researching reading my thoughts
 Hello Everyone, hello everyone
 hello everyone, hello everyone
 Hello everyone., hello everyone.
 Hello people!, hello people!
 Hello Ruben.  Who should we knock off?, hello ruben.  who should we knock off?
 Hello there, hello there
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
 Hello!, hello!
" Hello, we should eliminate Barry"," hello, we should eliminate barry"
" Hello, who should we eliminate?"," hello, who should we eliminate?"
 Hello., hello.
 hello., hello.
 Hello., hello.
 hello. not me!, hello. not me!
 hello?, hello?
 Hello?, hello?
 Hello~, hello~
 helo, helo
 he's spoken once, he's spoken once
 He's trying to blend in!, he's trying to blend in!
 hey, hey
 hey, hey
 Hey, hey
 Hey, hey
 hey, hey
 Hey, hey
 Hey, hey
 hey, hey
 Hey, hey
 Hey, hey
 Hey, hey
 hey, hey
 hey, hey
 Hey, hey
 hey, hey
 hey, hey
 hey, hey
 Hey, hey
 hey, hey
 hey, hey
 Hey, hey
 Hey, hey
 Hey, hey
 hey, hey
 Hey , hey 
 hey all, hey all
 Hey all!, hey all!
 hey everybody, hey everybody
 hey everyone, hey everyone
" Hey everyone! Nicole here, ready to follow the crowd!"," hey everyone! nicole here, ready to follow the crowd!"
 hey group , hey group 
 Hey guys, hey guys
 Hey guys!, hey guys!
 Hey guys., hey guys.
 hey how r u, hey how r u
 Hey I'm just playin' wit' you'se., hey i'm just playin' wit' you'se.
" Hey Jodi, who do you think is in the Mafia?"," hey jodi, who do you think is in the mafia?"
 hey just for lol guys, hey just for lol guys
 HEY NOW, hey now
 hey!, hey!
 Hey!, hey!
 Hey!, hey!
 Hey!, hey!
 Hey!, hey!
 Hey! I'm  bystander like y'all., hey! i'm  bystander like y'all.
" Hey, gotta kill someone."," hey, gotta kill someone."
" Hey, I still have all these nooses. Gotta use them up."," hey, i still have all these nooses. gotta use them up."
" Hey, wtf... I didn't do nuttin."," hey, wtf... i didn't do nuttin."
 Heys, heys
 Hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
