contents,lower_contents
 OK I'M FINISH, ok i'm finish
 Ok Kyle it is, ok kyle it is
" ok nicole, who's next?"," ok nicole, who's next?"
 Ok now let's eliminate Jordan then outnumber vote kevin, ok now let's eliminate jordan then outnumber vote kevin
 ok now that we've voted.., ok now that we've voted..
 Ok obviously Daniel King MD, ok obviously daniel king md
 Ok obviously William Frank MD, ok obviously william frank md
 Ok so they think it's abigail, ok so they think it's abigail
 Ok William it is, ok william it is
 ok!, ok!
" Ok, let's do it"," ok, let's do it"
" Ok, now I'm glad you're voted out "," ok, now i'm glad you're voted out "
" Ok, scott next then"," ok, scott next then"
" ok, sounds good"," ok, sounds good"
" Ok, that's also a fair way to pick"," ok, that's also a fair way to pick"
" ok, who do we have left?"," ok, who do we have left?"
" ok, wow"," ok, wow"
 OK. nice being a criminal with you., ok. nice being a criminal with you.
 Okay, okay
 okay, okay
 okay, okay
 okay, okay
" Okay Jacob, after you this time"," okay jacob, after you this time"
 okay then, okay then
 Okay Tim is cool., okay tim is cool.
" Okay, I'll go with Benjamin"," okay, i'll go with benjamin"
" Okay, let's go with him."," okay, let's go with him."
" Okay, so someone needs to sleep with the fishes"," okay, so someone needs to sleep with the fishes"
" Okay, so we're going to go with Jordan?"," okay, so we're going to go with jordan?"
" okay, who here is mafia?"," okay, who here is mafia?"
 okays, okays
 one more vote for vanessa, one more vote for vanessa
" One name is as good as another at this point, I guess"," one name is as good as another at this point, i guess"
 only a small amount of time left!, only a small amount of time left!
 Only Harold does, only harold does
 only in our dreams, only in our dreams
 only mafia can talk and vote at night, only mafia can talk and vote at night
 Only mafia can talk at night, only mafia can talk at night
 Only one way to find out!, only one way to find out!
 Only the people who can sse John message is other mafia , only the people who can sse john message is other mafia 
 OOF, oof
 oooo, oooo
 oooo good point, oooo good point
 oops, oops
 oops, oops
" Oops, Deb's was taken in the night! :D"," oops, deb's was taken in the night! :d"
 Oops., oops.
 oos sorry mary, oos sorry mary
 or am i just saying vote me off, or am i just saying vote me off
 Or Amanda, or amanda
 or Ashley for that matter, or ashley for that matter
 or did they?, or did they?
 or did you know because you were the one talking to him at night, or did you know because you were the one talking to him at night
 Or reverse psychology, or reverse psychology
" or said very little, probably leave them for now"," or said very little, probably leave them for now"
 Or the person didn't know how to vote, or the person didn't know how to vote
 Or would that be too obvious?, or would that be too obvious?
 Or you are and trying to throw them off track, or you are and trying to throw them off track
 ouch, ouch
 Ouch!, ouch!
 outlier, outlier
 Patrick Gonzales, patrick gonzales
 Patrick Gonzales is next, patrick gonzales is next
 Patrick had it coming we all know it, patrick had it coming we all know it
 patrick vs john, patrick vs john
 Patrick was a bystander who probably snitched. Snitches get stitches. :`(, patrick was a bystander who probably snitched. snitches get stitches. :`(
 Paul Gaines needs to go, paul gaines needs to go
" Paul works for me, lol"," paul works for me, lol"
 paul ya done, paul ya done
 pays the bills, pays the bills
 Peace out, peace out
" Pick one,  I can barely read the text"," pick one,  i can barely read the text"
" Pick what you guts says, or follow majority its upto you man"," pick what you guts says, or follow majority its upto you man"
 Pitch fork time! Get Elizabeth!, pitch fork time! get elizabeth!
 Pitch forks a ready!, pitch forks a ready!
 Pitch forks! Get that silent but deadly outta here!, pitch forks! get that silent but deadly outta here!
 poor guy, poor guy
 Poor guy, poor guy
 Poor Heather :(, poor heather :(
 poor Johnny, poor johnny
 Poor Ricky lol, poor ricky lol
 Poor Shane., poor shane.
 press f to pay respects, press f to pay respects
 pretty sure he is, pretty sure he is
 Probably Alicia then., probably alicia then.
 probably know hes not mafia, probably know hes not mafia
" Probably should kill Jerry, since he thinks I'm mafia, haha"," probably should kill jerry, since he thinks i'm mafia, haha"
 quick with the peterson vote already..., quick with the peterson vote already...
 ready to kick someone..., ready to kick someone...
 real enough for you?, real enough for you?
 really, really
 really, really
" Really, regina?"," really, regina?"
 Rebecca  is here, rebecca  is here
 Rebecca seemed quick to the draw., rebecca seemed quick to the draw.
 Rebecca you are bullying me, rebecca you are bullying me
 Reminds me of IT.  We all float down here, reminds me of it.  we all float down here
 researcher*, researcher*
 Reverse psychology?, reverse psychology?
 Ricardo def mafia, ricardo def mafia
 Ricardo is sketchy as the day is long, ricardo is sketchy as the day is long
 Ricardo is too quiet, ricardo is too quiet
 Ricardo vote for yourself. Your fate has been decided, ricardo vote for yourself. your fate has been decided
" Richard made an accusation before discussing, so Richard is probably mafia."," richard made an accusation before discussing, so richard is probably mafia."
 Richard Walter is too suspicious, richard walter is too suspicious
 Ricky is a sweetheart, ricky is a sweetheart
" Right, and he said he chose Byrce"," right, and he said he chose byrce"
 Right., right.
 right., right.
" right. So, should we just sit back and let them eat themselves?"," right. so, should we just sit back and let them eat themselves?"
 right?, right?
 Right?! How can we pick?, right?! how can we pick?
 Riley, riley
 rip, rip
 rip jose, rip jose
 RIP Matt , rip matt 
 RIP Matthew, rip matthew
 rip me, rip me
 RIP me, rip me
 rip patrick, rip patrick
 RIP Zachary, rip zachary
 Robin is still trying to intimidate us!, robin is still trying to intimidate us!
 Robin next..., robin next...
 Robinson is the next to get it., robinson is the next to get it.
" Ronald, William, Kelly, Brandy are still quiet"," ronald, william, kelly, brandy are still quiet"
 Roy Moore, roy moore
 roy moore as in the failed politician? lol, roy moore as in the failed politician? lol
 Roy then, roy then
 Ruben already voted this round for Alexander...., ruben already voted this round for alexander....
 ryan are you related to Jet, ryan are you related to jet
 Ryan playing dumb to stay alive?, ryan playing dumb to stay alive?
 ryan ray needs to be gone, ryan ray needs to be gone
 Ryan Richardson!, ryan richardson!
 Ryan talkin too much, ryan talkin too much
 Ryan vazquez, ryan vazquez
" Ryan, have you seen any red balloons? :)"," ryan, have you seen any red balloons? :)"
" Ryan: LOL, now that's stuck in my head. ;)"," ryan: lol, now that's stuck in my head. ;)"
 Ryan?, ryan?
 sad, sad
 Sad days for miss Erin, sad days for miss erin
 sadness.  I have kids, sadness.  i have kids
 sam, sam
 Sam if justin isn't mafia I'm assuming you are, sam if justin isn't mafia i'm assuming you are
 sam it is, sam it is
 same, same
 Same, same
 same , same 
 SARA MARSHALL, sara marshall
" Sara was a mafioso, so I was right"," sara was a mafioso, so i was right"
 Say bye bye Mary, say bye bye mary
 Say goodnight., say goodnight.
 says the bot, says the bot
 says the not so famous younger sister, says the not so famous younger sister
 scott was the first voter last time..., scott was the first voter last time...
 Scott?, scott?
 See the list below for living , see the list below for living 
 see they voted natalie out...other person that wanted her out was Nathan. He's the next mafia, see they voted natalie out...other person that wanted her out was nathan. he's the next mafia
 See ya Greg, see ya greg
 see you later, see you later
 see you later cory, see you later cory
 see you later cory, see you later cory
 See you tomorrow morning :X, see you tomorrow morning :x
 seem OK, seem ok
 Seemed like Angela and him were close, seemed like angela and him were close
 seems between those two, seems between those two
" Seems odd that Matthew would make the first choice, probably mafia"," seems odd that matthew would make the first choice, probably mafia"
 seriously!, seriously!
 Shall we vote out Mary Reed, shall we vote out mary reed
 Shand piled on with Deb.  Guilt by association!!!, shand piled on with deb.  guilt by association!!!
 Shane how could you vote for Patrick?! Taken in his prime... you monster I can never forgive you., shane how could you vote for patrick?! taken in his prime... you monster i can never forgive you.
 Shane Landry... Landry. Laundry. Laundered money to the mafia!, shane landry... landry. laundry. laundered money to the mafia!
 shannon ryan next, shannon ryan next
 Shannon watch out! The mafia is out to get you!, shannon watch out! the mafia is out to get you!
 Sharon didn't answer, sharon didn't answer
 she hasn't responded, she hasn't responded
 She is but I voted you cause you were gonna vote me, she is but i voted you cause you were gonna vote me
 she isn't talking sounds like a mob goon to me, she isn't talking sounds like a mob goon to me
 She only asked if curtis was, she only asked if curtis was
" She really liked jaguars, I guess"," she really liked jaguars, i guess"
" She threw him under the bus about patrick, who was also a bystander"," she threw him under the bus about patrick, who was also a bystander"
" she tried to pet, it didn't work"," she tried to pet, it didn't work"
 She voted you out with Autumn, she voted you out with autumn
 she was poor, she was poor
 she'd be invested if she was, she'd be invested if she was
 she's a mobster!, she's a mobster!
 shot in the dark , shot in the dark 
 Should we keep Carla in since he seems supicious?, should we keep carla in since he seems supicious?
 Should we still go for Mr. Roberts?, should we still go for mr. roberts?
 Should we wait to eliminate someone?, should we wait to eliminate someone?
 Show yourself!, show yourself!
 sick, sick
 sigh, sigh
 sigh, sigh
 sigh, sigh
 sigh i should of just said i'm mafia like everyone else , sigh i should of just said i'm mafia like everyone else 
" Since I voted for Natalie to be eliminated, that means I'm not a mafia. Latoya, on the other hand, wanted me gone."," since i voted for natalie to be eliminated, that means i'm not a mafia. latoya, on the other hand, wanted me gone."
 since kevin seems very quiet, since kevin seems very quiet
 since no one else is speaking, since no one else is speaking
" since Sara voted me on first round, I will vote her now."," since sara voted me on first round, i will vote her now."
 since theres only two roles we sort of have to random lynch, since theres only two roles we sort of have to random lynch
 sleeps with fishes, sleeps with fishes
 slowly but surely . . ., slowly but surely . . .
 Snitches get stitches., snitches get stitches.
 So any guesses?, so any guesses?
 So be it . . ., so be it . . .
 so be it then, so be it then
 so do we want to vote off someone, so do we want to vote off someone
 so don't kill her, so don't kill her
 So far so good, so far so good
" so far so good, but maybe we shouldn't have gotten rid of roy so soon. My bad"," so far so good, but maybe we shouldn't have gotten rid of roy so soon. my bad"
 So far we haven't found any mob goons, so far we haven't found any mob goons
 so first one to talk gets to die , so first one to talk gets to die 
 so I think Derek is mafia, so i think derek is mafia
 So I vote we all pick random names, so i vote we all pick random names
 SO is tammy next, so is tammy next
 So jacob for sure?, so jacob for sure?
 so let's see...looking at the previous conversation it looks like bianca and carla might be allies but i'm not sure, so let's see...looking at the previous conversation it looks like bianca and carla might be allies but i'm not sure
 so long, so long
 So long , so long 
 so much for my bright ideas, so much for my bright ideas
 So she could be afk or not wanting to look suspicious, so she could be afk or not wanting to look suspicious
 So that mean Stacy needs to go, so that mean stacy needs to go
" So that you could be the last mafioso standing, your kind knows no loyalty!"," so that you could be the last mafioso standing, your kind knows no loyalty!"
 So uh good job on the first hanging, so uh good job on the first hanging
 So we can say bye to her?, so we can say bye to her?
 so what are we thinking, so what are we thinking
 So who do we think is in the Mafia? , so who do we think is in the mafia? 
 So who is next?, so who is next?
 So who should be next, so who should be next
 So who should we vote out?, so who should we vote out?
 So who's a bystander?, so who's a bystander?
 so you talked first now?, so you talked first now?
" So, are we all voting randomly?"," so, are we all voting randomly?"
" So, does that mean vote Ernest?"," so, does that mean vote ernest?"
" So, how's all you'se doin'."," so, how's all you'se doin'."
" So, let's just confess. If you're the mafia, say so!"," so, let's just confess. if you're the mafia, say so!"
" So, nathan is the other, right?"," so, nathan is the other, right?"
" so, who did it, fess up"," so, who did it, fess up"
 so....i'm not sure what's going on, so....i'm not sure what's going on
 Some are more dumb than others, some are more dumb than others
 somebody must have dropped or something, somebody must have dropped or something
 Someone's a fibber, someone's a fibber
 Something suspicious about Christopher Turner, something suspicious about christopher turner
 Sooooo, sooooo
 sorry, sorry
 sorry, sorry
 Sorry :D, sorry :d
 sorry abotu last turn i was trying to decide who to pick and rna out of time, sorry abotu last turn i was trying to decide who to pick and rna out of time
 sorry Blake, sorry blake
 sorry Bryan, sorry bryan
 Sorry Chelsea you seem to protest too much :(, sorry chelsea you seem to protest too much :(
 Sorry Damon., sorry damon.
 Sorry Erin , sorry erin 
 Sorry Jeremiah!, sorry jeremiah!
 sorry kat, sorry kat
 Sorry Kendra..., sorry kendra...
 sorry make that bill brock, sorry make that bill brock
 Sorry Matthew :(, sorry matthew :(
 sorry michelle, sorry michelle
" Sorry Robin, but you sound suspicious"," sorry robin, but you sound suspicious"
 Sorry Russell, sorry russell
 Sorry William, sorry william
 sorry Zachary (if you're still watching), sorry zachary (if you're still watching)
 sorry!, sorry!
" Sorry, :)"," sorry, :)"
" sorry, Cory"," sorry, cory"
" Sorry, I just picked a random name :("," sorry, i just picked a random name :("
" Sorry, Kelly"," sorry, kelly"
" Sorry, Tamara!"," sorry, tamara!"
 Sounds good, sounds good
 sounds good, sounds good
 sounds good, sounds good
 sounds good thats how i will vote, sounds good thats how i will vote
 Sounds good to me. , sounds good to me. 
 sounds good!, sounds good!
 Sounds good., sounds good.
 Sounds like a mafia name to me , sounds like a mafia name to me 
 Sounds like a mobish name, sounds like a mobish name
 Sounds like it could be any possibility. , sounds like it could be any possibility. 
 Sounds like something a mob boss would say. , sounds like something a mob boss would say. 
 sounds mobbed up, sounds mobbed up
 Stacy Dillon is a snitch., stacy dillon is a snitch.
 Stacy Dillon is a snitch., stacy dillon is a snitch.
 Stacy Jensen, stacy jensen
 Stalking in the night., stalking in the night.
" Stephen Baldwin... that guy has been in quite a few movies, I bet he's got mob connections. I vote Stephen Baldwin is the mafioso! "," stephen baldwin... that guy has been in quite a few movies, i bet he's got mob connections. i vote stephen baldwin is the mafioso! "
 Stephen Frank?, stephen frank?
 still going with Ruben....nothing but crickets from him/her, still going with ruben....nothing but crickets from him/her
 Still leaning towards Stephanie, still leaning towards stephanie
 Sucks to be Andrew, sucks to be andrew
 Sucks to your asmar, sucks to your asmar
 sup, sup
 Sup, sup
 sup, sup
 sup yall, sup yall
 sure, sure
 Sure, sure
 Sure, sure
 sure, sure
 sure, sure
 sure, sure
 sure, sure
 sure, sure
 Sure why not, sure why not
" Sure, I'll sheep vote."," sure, i'll sheep vote."
 Sure., sure.
 Sure., sure.
 suspicious*, suspicious*
 take it as you will but I'm quite certain about her now, take it as you will but i'm quite certain about her now
 Terry has died :(, terry has died :(
 thank you, thank you
 THANK YOU, thank you
 Thanks Ernest, thanks ernest
 Thanks Michael, thanks michael
 Thanks to all of you :), thanks to all of you :)
 that is not the case., that is not the case.
 that is you right?, that is you right?
" that sounded a little suspicious, just saying"," that sounded a little suspicious, just saying"
 that sounds like something mafia would say, that sounds like something mafia would say
 That sounds suspicious..., that sounds suspicious...
 That was not very nice of Erin, that was not very nice of erin
 that went well, that went well
 That works for me :) , that works for me :) 
 that would be a lonely night if there was only 1, that would be a lonely night if there was only 1
 that would be a mistake..., that would be a mistake...
" That would be a short game, lol"," that would be a short game, lol"
 Thats an offer you cannot refuse!, thats an offer you cannot refuse!
 that's cuz you're comfortable with the user interface already., that's cuz you're comfortable with the user interface already.
 that's exactly what a mafioso would say, that's exactly what a mafioso would say
" that's fine. seriously, gotta cook. can kick me out but I am a bystander as you'll soon see :)"," that's fine. seriously, gotta cook. can kick me out but i am a bystander as you'll soon see :)"
 that's Jet Li, that's jet li
 That's just mean man! ;), that's just mean man! ;)
" that's not nice, dr. amy! "," that's not nice, dr. amy! "
" that's only in the nighttime, Mary."," that's only in the nighttime, mary."
 THats such a mafia thing to say!!, thats such a mafia thing to say!!
 thats sus, thats sus
 That's what somebody in the mafia would say!, that's what somebody in the mafia would say!
 that's what someone in the mafia would say, that's what someone in the mafia would say
 that's what we play for, that's what we play for
 thats who Ernest though it was?, thats who ernest though it was?
 The instructions made it sound pretty equal, the instructions made it sound pretty equal
" The mafia has raptors, I'm sure."," the mafia has raptors, i'm sure."
 The mafia is center of person, the mafia is center of person
 The neighborhoods thinning out too quickly., the neighborhoods thinning out too quickly.
 the single person, the single person
 The three that picked John are probably mafia!, the three that picked john are probably mafia!
 Then I'm sorry, then i'm sorry
 Then Jamie., then jamie.
 Then they'll know it was you, then they'll know it was you
 Then who besides James?, then who besides james?
 Then you've got my vote I guess, then you've got my vote i guess
 there are as many as there ever were, there are as many as there ever were
 There doesn't seem to be any evidence for it., there doesn't seem to be any evidence for it.
 there i broke a tie, there i broke a tie
 There seems to be some mafia members among us!, there seems to be some mafia members among us!
 there wasn't a majority at night, there wasn't a majority at night
 there ya go, there ya go
 There's a bonus prize guys come on now, there's a bonus prize guys come on now
 there's at least 1, there's at least 1
 They have no idea yet. :), they have no idea yet. :)
 they pushed julian in the beginni, they pushed julian in the beginni
" They said you, not me.  I just went along...."," they said you, not me.  i just went along...."
 They're in cahoots!, they're in cahoots!
" Things that make you go ""hmm"""," things that make you go ""hmm"""
 Think Jordan's getting 86d, think jordan's getting 86d
 Think what Stephanie?, think what stephanie?
 This does NOT look good for me., this does not look good for me.
 This experiment is ridiculous, this experiment is ridiculous
 This game can easily make one feel paranoid..., this game can easily make one feel paranoid...
 This game is harder when you can't interact in person and read people's body language, this game is harder when you can't interact in person and read people's body language
 This game obviously needs a bonus that's what I think, this game obviously needs a bonus that's what i think
 this is going well on votes, this is going well on votes
 this is gold, this is gold
" this is gonnna be harder than i thought, lol"," this is gonnna be harder than i thought, lol"
 this is like Survivor, this is like survivor
 this is mturk so yes, this is mturk so yes
 This is scaring me.  How do you find the bad guys?, this is scaring me.  how do you find the bad guys?
" This is such a stupid game. I'm a bystander, but kill me anyways, want to get on with my day"," this is such a stupid game. i'm a bystander, but kill me anyways, want to get on with my day"
 this just got intersting , this just got intersting 
 thomas was the last to come around on sara lets go with him, thomas was the last to come around on sara lets go with him
" Though, Blevins is a gross sounding name, so fair I guess"," though, blevins is a gross sounding name, so fair i guess"
 tiffany?, tiffany?
" timer is fast, didn't know which Erin"," timer is fast, didn't know which erin"
 timothy next, timothy next
 tommy with the butcher knife in the kitchen, tommy with the butcher knife in the kitchen
 too easy well i dont want to just blindly kill so idk, too easy well i dont want to just blindly kill so idk
 too late now, too late now
" Too late now, I never got to say goodbye."," too late now, i never got to say goodbye."
" Too many people saying Jason, they are probably mafia"," too many people saying jason, they are probably mafia"
 too much scrolling in this =/, too much scrolling in this =/
 too quiet., too quiet.
 totally different, totally different
 totally guilty, totally guilty
 Trevor brown, trevor brown
" Tricia Miller, one woman army."," tricia miller, one woman army."
 True, true
 true, true
" True, I'm used to watching reactions and hearing tone of voice."," true, i'm used to watching reactions and hearing tone of voice."
 trump 2020, trump 2020
 try..hahahah, try..hahahah
 trying to hill you , trying to hill you 
 trying to think what we can go off, trying to think what we can go off
 Trying too hard, trying too hard
 ty, ty
 ty christopher, ty christopher
 tyrone, tyrone
 uhh nathan are you okay haha, uhh nathan are you okay haha
 undersatndable, undersatndable
 Unless they killed him to make us confused, unless they killed him to make us confused
 vanessa berry is gonan sleep with the fishes, vanessa berry is gonan sleep with the fishes
" vanessa is mafia, lets get rid of her"," vanessa is mafia, lets get rid of her"
 Vanessa makes me nervous she voted me , vanessa makes me nervous she voted me 
" Vang is mafia, eliminate her"," vang is mafia, eliminate her"
 vengeance pick...nice! lol, vengeance pick...nice! lol
" very boring, can't change my vote now but thanks for the apology"," very boring, can't change my vote now but thanks for the apology"
" Very few of us left, wow. Good morning, brave few. "," very few of us left, wow. good morning, brave few. "
 very gd morning, very gd morning
 Vote Chris in the daytime, vote chris in the daytime
 vote for aaron horton, vote for aaron horton
 vote for kevin, vote for kevin
 Vote for Melissa Vang, vote for melissa vang
 vote her out, vote her out
 Vote in the dropdown menu, vote in the dropdown menu
 Vote me out, vote me out
 vote me out then lol, vote me out then lol
" vote me, I'm a dum dum"," vote me, i'm a dum dum"
 vote out kevin, vote out kevin
 Vote out Kimberly, vote out kimberly
 vote out shane, vote out shane
 voted, voted
 voting for john then, voting for john then
 Voting Michael, voting michael
 wait, wait
 wait wait, wait wait
 Wait what?, wait what?
 Walker is trying to turn  you against me so he can kill you himself., walker is trying to turn  you against me so he can kill you himself.
 wanna do angela?, wanna do angela?
 Want to be voted out?, want to be voted out?
 Want to eliminate Mary?, want to eliminate mary?
 Want to vote Kathryn?, want to vote kathryn?
" Was Jacob not here the whole chat of ""day 1""?  If so... maybe vote Jacob?"," was jacob not here the whole chat of ""day 1""?  if so... maybe vote jacob?"
 Was thinking her as well., was thinking her as well.
 we all could see it, we all could see it
 We can do Danny and try to throw them off the tail?, we can do danny and try to throw them off the tail?
 we can get Carol next round, we can get carol next round
 We got one of our own :(  , we got one of our own :(  
 We have no information about people., we have no information about people.
 we just lost didn't we?, we just lost didn't we?
 We needed to vote someone off to kill the mafia, we needed to vote someone off to kill the mafia
 We off'd one of our own... seems Stephanie Gonzalez needs to go now.., we off'd one of our own... seems stephanie gonzalez needs to go now..
 We outchea Kyle, we outchea kyle
 We should vote on Thomas McConnel, we should vote on thomas mcconnel
" welcome, it's quite lonely"," welcome, it's quite lonely"
 well, well
 well going after Kevin was a mistake.  , well going after kevin was a mistake.  
 Well good luck to you all, well good luck to you all
 Well good luck to you all, well good luck to you all
 Well great lol, well great lol
 well i guess we're killing this guy, well i guess we're killing this guy
" Well I guess you get to finish early, sorry Justin :("," well i guess you get to finish early, sorry justin :("
 well I think sam is alright, well i think sam is alright
 Well I'm stumpes, well i'm stumpes
 Well it looks like the majority picked poor K. Lo, well it looks like the majority picked poor k. lo
 Well it seems the mafia missed their first chance mwuhaha, well it seems the mafia missed their first chance mwuhaha
 well nice idea, well nice idea
 well nice knowing you!, well nice knowing you!
 Well no., well no.
 Well now I feel bad, well now i feel bad
 well regina isn't mafia we know that, well regina isn't mafia we know that
 We'll see if i can keep laura on my side, we'll see if i can keep laura on my side
 well she knew who was mafioso before so she must be mafioso herself, well she knew who was mafioso before so she must be mafioso herself
 Well sounds like Benjamin is mafia, well sounds like benjamin is mafia
 Well then. Guess it wasn't either of those guys, well then. guess it wasn't either of those guys
 Well there's at least one mafia left, well there's at least one mafia left
 well they win as soon as they have as many members as there are bystanders left, well they win as soon as they have as many members as there are bystanders left
 well we have to make a decision., well we have to make a decision.
" Well who is left, what do you all think, who could it be"," well who is left, what do you all think, who could it be"
" well you didn't vote for michael, i think that makes sense"," well you didn't vote for michael, i think that makes sense"
 Well you got my vote if oyu want it., well you got my vote if oyu want it.
" well, is anybody not talking?"," well, is anybody not talking?"
" well, no it looks like carla voted bianca"," well, no it looks like carla voted bianca"
" Well, Ryan probably asked for it anyways."," well, ryan probably asked for it anyways."
" Well, then... "," well, then... "
" Well, we were building some Ricardo momentum last time"," well, we were building some ricardo momentum last time"
 Welp see you guys in the morning, welp see you guys in the morning
 Welp they weren't mafia.... so there are only a few choices left, welp they weren't mafia.... so there are only a few choices left
 welp votes aren't changeable , welp votes aren't changeable 
" welp, its too late to change my vote"," welp, its too late to change my vote"
 We're all dumb here, we're all dumb here
 were building the wall in the mafia game, were building the wall in the mafia game
 we're doing good, we're doing good
 were is Ruben?, were is ruben?
 Weren't you quick to the draw first round?, weren't you quick to the draw first round?
 what, what
 What, what
 What about Alexander?, what about alexander?
 what about kevin?, what about kevin?
 What about Nathan Lynch?, what about nathan lynch?
 what about now?, what about now?
" What are we supposed to base this vote on?  My button says ""vote (note changeable)"""," what are we supposed to base this vote on?  my button says ""vote (note changeable)"""
 what did I do?, what did i do?
 what did laura do, what did laura do
 What did shane do?, what did shane do?
 What I realized now is that the people voting during the day are most likely bystanders meaning Bond ... and she voted a mafia out >_<, what i realized now is that the people voting during the day are most likely bystanders meaning bond ... and she voted a mafia out >_<
 what is happening, what is happening
 what kindof person is named justin anyway, what kindof person is named justin anyway
 What mafia meeting?, what mafia meeting?
 What makes you think she knew that?, what makes you think she knew that?
 What now?, what now?
 what should we do now?, what should we do now?
 what you think?, what you think?
" What, when?"," what, when?"
 What?, what?
 what?, what?
 What's lampredotto? , what's lampredotto? 
 whats the prize if we win?, whats the prize if we win?
 whats up Bryan, whats up bryan
 What's up everyone, what's up everyone
 What's up?, what's up?
 where is everybody getting this info?, where is everybody getting this info?
 where is everyone else?, where is everyone else?
 which is why I say we all randomly pick, which is why i say we all randomly pick
 which one of ya is it, which one of ya is it
 who are we going to eliminate next round? not this one. let's think in advance, who are we going to eliminate next round? not this one. let's think in advance
 who did it, who did it
 who didn't respond?, who didn't respond?
 who do we choose now>, who do we choose now>
 who do we eliminate, who do we eliminate
 who do we eliminate ?, who do we eliminate ?
 Who do we pick now?, who do we pick now?
 who do you all want eliminate?, who do you all want eliminate?
 Who do you think is a mafia member?, who do you think is a mafia member?
 Who do you think now?, who do you think now?
 who do you think the mafia is, who do you think the mafia is
 who do you think?, who do you think?
 who do you want to get?, who do you want to get?
 who do you want to select?, who do you want to select?
 who got 3eliminated?, who got 3eliminated?
 who got voted off the island?, who got voted off the island?
 who hasn't been voting during the day then?, who hasn't been voting during the day then?
 Who hasn't talked at all?, who hasn't talked at all?
 Who is in the mafia? Hmm..., who is in the mafia? hmm...
 who is it, who is it
 who is mafia? , who is mafia? 
 Who is the mafia?, who is the mafia?
 Who is the mob person ?, who is the mob person ?
 Who loves Italian food, who loves italian food
 who now?, who now?
 Who now?, who now?
 who now?, who now?
 who shall we knock off first? Bryce?, who shall we knock off first? bryce?
 Who should we eliminate, who should we eliminate
 Who should we eliminate tonight? , who should we eliminate tonight? 
 Who should we eliminate?, who should we eliminate?
 who should we get rid of?, who should we get rid of?
 who should we get rid of?, who should we get rid of?
 Who should we get rid of?, who should we get rid of?
 who should we get?, who should we get?
 Who should we vote out?, who should we vote out?
 who talked the least?, who talked the least?
 who thinks Johnny is Mafia?, who thinks johnny is mafia?
 who to eliminate?, who to eliminate?
 Who to vote out? Mary Reed?, who to vote out? mary reed?
 who want to go first?, who want to go first?
 who was deleted in the day part?, who was deleted in the day part?
 Who was dropped during the night?, who was dropped during the night?
 Whoa sorry about that my page suddenly scrolled down and I thought time was up and just hit vote, whoa sorry about that my page suddenly scrolled down and i thought time was up and just hit vote
 whoa this is 2019 you cant say that, whoa this is 2019 you cant say that
 Whoa! I can't help what my name is, whoa! i can't help what my name is
 whoa! i'm confused, whoa! i'm confused
 whodunit, whodunit
 whodunnit, whodunnit
 whoever doesnt respond? lol, whoever doesnt respond? lol
 whoever justin was he is gone. lol, whoever justin was he is gone. lol
 whoops, whoops
 whoops forgot to vote last time, whoops forgot to vote last time
" Whoops, did I say that out loud?"," whoops, did i say that out loud?"
 who's even left??, who's even left??
 whos matthew?, whos matthew?
 Who's next..., who's next...
 Who's next?, who's next?
 who's next?, who's next?
 who's next?, who's next?
 who's next? does anyone have any leads?, who's next? does anyone have any leads?
 who's the mouthiest???, who's the mouthiest???
 who's the next?, who's the next?
 Why all the hate for Heather?, why all the hate for heather?
 Why are we voting Felicia?, why are we voting felicia?
 why are you guys picking before we talk about it?, why are you guys picking before we talk about it?
 Why brent why!?, why brent why!?
 why did jason frye random voe alyssa, why did jason frye random voe alyssa
 why did the timer start over?, why did the timer start over?
 why did you choose me, why did you choose me
 Why does everyone want to eliminate John Luna?, why does everyone want to eliminate john luna?
 Why is everyone choosing Brittany?, why is everyone choosing brittany?
 Why Kendra?, why kendra?
 why kimberly?, why kimberly?
 Why not, why not
 why not, why not
 Why patrick gonzales?, why patrick gonzales?
 Why vote Curtis? , why vote curtis? 
 why we voting so fast?, why we voting so fast?
 Why would it be me Brandon & Michael? I voted against the mafia last round... Maybe you two are part of it to?, why would it be me brandon & michael? i voted against the mafia last round... maybe you two are part of it to?
 why would you vote for yourself?, why would you vote for yourself?
 Why yall want to eliminate me?, why yall want to eliminate me?
 why?, why?
 Why?, why?
 Why?, why?
 Why?, why?
 Why?, why?
 why??, why??
 why???, why???
 why'd the mob whack the person everyone was voting for they should've left him alive to distract from them, why'd the mob whack the person everyone was voting for they should've left him alive to distract from them
 William, william
 William Frank MD , william frank md 
 William I am on your side., william i am on your side.
 William Rubio, william rubio
 Wish they would have made this like the actual game. All we can do is just randomly pick people lol, wish they would have made this like the actual game. all we can do is just randomly pick people lol
" With a name like this, I'm probably a coffee/cocaine tycoon. "," with a name like this, i'm probably a coffee/cocaine tycoon. "
 woo, woo
 woops, woops
 Woot, woot
 Word on the street is Michael Williams ain't cut like the rest of us, word on the street is michael williams ain't cut like the rest of us
 would be easier if we could see hats, would be easier if we could see hats
 Would that be the blue screen of death on the computer?, would that be the blue screen of death on the computer?
 Wow, wow
" wow I figured I was just gonna get mafia'd, i'm a bystander, good luck guys"," wow i figured i was just gonna get mafia'd, i'm a bystander, good luck guys"
 Wow isn't that convenient, wow isn't that convenient
 wow they didn't vote me out I'm shocked haha, wow they didn't vote me out i'm shocked haha
 wow what a game, wow what a game
